Unnamed: 0,French,English
1,chercher,search
2,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
23,vont,will
24,pendant,while
25,aucune,any
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,type,type
36,leurs,their
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,façon,way
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,côté,side
51,pouvoir,power
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
58,point,point
59,venu,came
60,pardon,sorry
61,venez,come
62,devant,in front of
63,vers,towards
64,minutes,minutes
65,demandé,request
66,chambre,bedroom
67,mis,placed
68,belle,beautiful
69,droit,law
70,aimerais,would like to
71,mari,husband
72,cause,cause
73,enfin,finally
74,espère,hope
76,attendez,Wait
77,parti,left
78,nouvelle,new
80,arrêter,Stop
81,dirait,would say
83,compte,account
84,donne,given
85,fin,end
86,croire,believe
87,chérie,sweetheart
88,gros,large
89,plutôt,rather
90,aura,will have
91,filles,girls
92,bureau,office
